City,Max Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
ruteng,78.86,85,64,3.71,-8.61,120.46
mudgee,68.69,69,0,5.17,-32.6,149.59
avarua,80.6,83,20,6.93,-21.21,-159.78
kaduqli,94.61,39,0,5.73,11.01,29.72
granada,75.17,96,8,13.67,11.93,-85.96
ankara,30.2,58,40,10.29,39.92,32.85
nome,73.4,83,90,14.99,30.04,-94.42
ulaangom,29.72,63,20,3.27,49.98,92.07
albany,44.6,81,90,4.7,42.65,-73.75
atuona,79.98,100,92,18.03,-9.8,-139.03
ushuaia,46.4,81,90,25.28,-54.81,-68.31
kangaatsiaq,16.31,100,92,10.31,68.31,-53.46
shaunavon,6.68,64,0,7.63,49.65,-108.41
elk city,44.6,75,40,18.34,35.41,-99.4
pisco,69.8,77,0,8.05,-13.71,-76.2
sopelana,57.2,66,20,12.75,43.38,-2.98
lavrentiya,21.3,97,92,41.41,65.58,-170.99
carbonia,57.2,82,48,10.29,39.17,8.53
dikson,5.91,89,64,17.81,73.51,80.55
punta arenas,44.6,81,75,32.21,-53.16,-70.91
metro,81.78,92,88,1.92,-5.11,105.31
dwarka,82.4,39,40,6.93,28.58,77.04
kapaa,73.4,88,75,19.46,22.08,-159.32
sao jose da coroa grande,74.72,100,76,1.14,-8.9,-35.15
mogadishu,86,70,75,11.41,2.04,45.34
moose factory,5,92,90,6.93,51.26,-80.61
rikitea,79.4,100,80,15.23,-23.12,-134.97
puerto ayora,76.52,100,24,1.25,-0.74,-90.35
mataura,63.65,96,92,7.18,-46.19,168.86
hobyo,83.09,67,0,13.33,5.35,48.53
gizo,64.4,59,0,2.24,31.8,34.94
bluff,84.26,64,32,9.75,-23.58,149.07
pospelikha,13.97,89,64,13.44,51.99,81.83
jamestown,74.81,37,44,8.3,-33.21,138.6
ligayan,84.75,100,24,5.17,4.65,119.47
tuktoyaktuk,-16.61,68,64,25.28,69.44,-133.03
saldanha,49.25,96,92,18.92,41.42,-6.55
khartoum,78.8,14,0,17.22,15.59,32.54
gushikawa,68,52,1,10.29,26.35,127.87
butaritari,81.74,100,76,13.56,3.07,172.79
barrow,64.55,63,0,13.78,-38.31,-60.23
nokaneng,77.73,69,44,11.99,-19.66,22.19
lebu,71.57,43,48,3.38,8.96,38.73
dunedin,59.28,97,92,2.04,-45.87,170.5
mount gambier,65.63,59,0,5.61,-37.83,140.78
qaanaaq,14.15,85,80,7.18,77.48,-69.36
hobart,62.6,72,75,10.29,-42.88,147.33
bubaque,68,77,0,6.93,11.28,-15.83
nefteyugansk,-4.01,76,68,11.18,61.09,72.61
saint-georges,34.8,100,92,3.15,46.12,-70.67
lompoc,46.4,93,75,5.82,34.64,-120.46
saint-philippe,33.8,86,90,6.93,45.36,-73.48
vaini,93.26,26,0,3.38,15.34,74.49
magistralnyy,3.21,43,64,3.38,56.17,107.45
busselton,74.63,85,0,19.04,-33.64,115.35
sisimiut,10.55,80,80,4.16,66.94,-53.67
cape town,69.8,68,20,12.75,-33.93,18.42
upernavik,10.82,81,56,3.94,72.79,-56.15
saskylakh,-19.52,84,36,15.68,71.97,114.09
khatanga,-6.56,73,76,5.61,71.98,102.47
kahului,73.4,69,20,14.99,20.89,-156.47
torrington,23,73,1,3.36,42.06,-104.18
lasa,64.4,72,40,3.36,34.92,32.53
ribeira grande,53.6,58,75,10.29,38.52,-28.7
port alfred,71.88,82,88,10.31,-33.59,26.89
karasburg,77.87,28,0,4.72,-28.01,18.75
kadoma,77.33,89,32,11.88,-18.34,29.91
abha,59,76,40,11.41,18.22,42.5
tyrma,13.97,80,76,3.15,50.04,132.17
moramanga,73.23,80,64,3.83,-18.95,48.23
arroio grande,70.22,100,44,6.17,-32.24,-53.09
amapa,59.28,88,24,1.92,15.09,-87.97
yaan,81.47,76,8,12.44,7.38,8.57
wajima,41,80,75,29.97,37.4,136.9
castro,49.11,90,48,3.71,-42.48,-73.76
chokurdakh,-11.51,75,88,3.15,70.62,147.9
tasiilaq,19.4,62,12,4.7,65.61,-37.64
mantua,26.6,92,75,2.24,45.16,10.79
bredasdorp,71.6,68,40,3.36,-34.53,20.04
airai,75.08,87,92,2.15,-8.93,125.41
damietta,73.68,49,0,4.94,31.42,31.81
primo tapia,53.6,81,40,2.71,32.22,-116.92
monrovia,73.4,94,40,4.16,6.33,-10.8
mananjary,77.33,73,12,4.16,-19.16,46.8
hithadhoo,83.54,100,44,9.98,-0.6,73.08
fernley,41,55,90,17.22,39.61,-119.25
xingyi,68.15,43,0,9.98,24.19,102.82
hermanus,70.76,60,24,5.39,-34.42,19.24
muroto,60.8,38,40,17.22,33.37,134.14
sambava,84.44,99,64,18.25,-14.27,50.17
morwa,97.94,28,8,3.04,22.9,73.84
talnakh,-8.9,80,68,26.53,69.49,88.39
port elizabeth,51.8,81,1,6.29,39.31,-74.98
jumla,44.25,59,20,2.15,29.28,82.18
hofn,33.59,100,76,22.39,64.25,-15.21
hilo,69.8,83,90,5.82,19.71,-155.08
novikovo,30.17,100,48,14.45,45.05,34.56
yellowknife,-4.01,83,20,8.05,62.45,-114.38
almaznyy,29.36,94,92,18.25,48.03,40.04
krasnoarmeysk,3.2,71,0,13.42,56.12,38.15
belmonte,50.91,97,92,17.25,40.36,-7.35
srednekolymsk,-7.19,75,76,3.94,67.46,153.71
parkes,73.73,45,0,7.85,-33.14,148.18
longyearbyen,8.6,60,20,5.82,78.22,15.63
georgetown,71.57,88,92,4.16,6.8,-58.16
havre-saint-pierre,23,85,90,9.17,50.23,-63.6
keetmanshoop,86.28,37,8,2.71,-26.57,18.15
tocache,57.75,97,76,2.71,-8.19,-76.51
sept-iles,12.2,72,20,10.29,50.2,-66.38
alihe,11.81,53,36,3.94,50.57,123.73
kruisfontein,71.12,94,24,7.18,-34,24.73
vao,9.33,79,20,4.38,59.1,26.19
najran,78.8,34,0,6.17,17.54,44.22
te anau,58.88,97,100,2.48,-45.41,167.72
saint-pierre,24.8,73,90,18.34,48.95,4.24
bud,21.2,60,0,9.17,62.91,6.91
mar del plata,60.18,53,0,16.46,-46.43,-67.52
nishihara,68,18,20,13.87,35.74,139.53
thompson,8.6,92,5,2.37,55.74,-97.86
arraial do cabo,74.58,100,68,4.05,-22.97,-42.02
amahai,82.73,100,64,6.17,-3.31,129
sabang,79.98,92,88,6.96,13.72,123.58
takoradi,83.63,91,0,6.62,4.89,-1.75
enshi,56.4,98,88,2.04,30.29,109.48
new norfolk,62.6,72,75,10.29,-42.78,147.06
sitka,37.91,51,0,17.58,37.17,-99.65
paamiut,32.55,84,48,21.5,61.99,-49.67
troianul,20.18,92,0,9.19,44,25.02
namatanai,84.66,95,76,5.84,-3.66,152.44
petropavlovsk-kamchatskiy,26.6,42,0,22.37,53.05,158.65
mineiros,66.93,93,48,2.93,-17.57,-52.55
galesong,77,94,40,9.17,-5.32,119.37
bukachacha,8.03,40,48,3.38,52.99,116.91
winnemucca,22.38,89,88,4.16,40.97,-117.74
mahebourg,84.2,74,40,14.99,-20.41,57.7
marawi,72.65,96,68,2.15,8,124.29
bethel,10.4,78,1,5.82,60.79,-161.76
galveston,51.8,100,90,5.82,40.58,-86.19
port keats,87.77,76,8,8.86,-14.25,129.55
bindura,72.11,88,68,7.29,-17.3,31.33
russkaya polyana,6.23,80,56,15.01,53.78,73.88
chuy,65.27,95,32,5.84,-33.69,-53.46
yar-sale,9.06,85,64,22.5,66.83,70.83
kodiak,37.4,86,90,19.46,39.95,-94.76
comodoro rivadavia,64.4,42,0,17.22,-45.87,-67.48
geraldton,15.8,85,90,5.82,49.72,-86.95
port-cartier,12.2,72,20,10.29,50.03,-66.88
mackay,21.2,57,20,4.7,53.65,-115.58
mnogovershinnyy,-3,73,0,2.59,53.94,139.92
wanlaweyn,93.62,47,0,10.09,2.62,44.89
angoche,84.21,100,32,3.71,-16.23,39.91
vrangel,28.64,100,88,34.69,42.73,133.08
bathsheba,71.6,94,20,8.05,13.22,-59.52
okhotsk,6.59,94,0,6.51,59.36,143.24
beinamar,90.51,29,0,5.28,8.67,15.38
brae,26.6,73,40,9.17,60.4,-1.35
aklavik,-9.41,75,75,5.82,68.22,-135.01
ketchikan,42.8,41,40,8.05,55.34,-131.65
clifton,91.4,36,0,6.93,-27.93,151.91
solnechnyy,12.98,82,80,6.17,50.72,136.64
erenhot,37.19,27,48,17.47,43.65,111.97
morros,77,94,75,3.36,-2.87,-44.04
sorland,30.2,68,75,12.75,67.67,12.69
cananeia,73.28,100,56,0.92,-25.01,-47.93
tysmenytsya,5,77,75,7.85,48.9,24.84
tuatapere,62.21,96,88,5.28,-46.13,167.69
lianzhou,70.49,75,68,4.16,24.79,112.38
hami,53.93,50,0,3.27,42.84,93.51
ambanja,84.2,95,75,4.7,-13.68,48.45
fairbanks,-9.41,76,1,5.82,64.84,-147.72
